An,Bn
3.00925925925926,40.75
3.00925925925926,41.05
3.00925925925926,42
3.00925925925926,42.25
3.00925925925926,42.65
3.00925925925926,43.65
3.03302752293578,16.95
3.03302752293578,19.5
3.03302752293578,19.9
3.03302752293578,20.55
3.03302752293578,22.25
3.03302752293578,23.6
3.03302752293578,24.2
3.03302752293578,24.4
3.03302752293578,26.9
3.03302752293578,26.95
3.03302752293578,27.1
3.03302752293578,27.3
3.03302752293578,27.6
3.03302752293578,28.75
3.03302752293578,29
3.03302752293578,29.3
3.03302752293578,31.3
3.03302752293578,31.7
3.03302752293578,34.25
3.03302752293578,34.7
3.10706638115632,22.85
3.10706638115632,23.3
3.10706638115632,24.65
3.10706638115632,25.1
3.10706638115632,26.7
3.10706638115632,27.2
3.10706638115632,27.85
3.10706638115632,28.4
3.10706638115632,28.5
3.10706638115632,28.9
3.10706638115632,28.95
3.10706638115632,29.1
3.10706638115632,29.45
3.10706638115632,29.45
3.10706638115632,29.8
3.10706638115632,30.05
3.10706638115632,30.4
3.10706638115632,30.8
3.10706638115632,31
3.21884498480243,14.6
3.21884498480243,15.6
